filename,label,confidence,lat,lng,datatime
cat1.jpg,kuro,0.49,38.725213,139.827071,2026-01-08 9:57
cat2.jpg,kuro,0.78,38.725213,139.827071,2026-01-09 9:57
cat3.jpg,tora,0.72,38.725213,139.827071,2026-01-10 9:57
cat4.jpg,tora,0.94,38.725213,139.827071,2026-01-11 9:57
cat5.jpg,buti,0.9,38.725213,139.827071,2026-01-12 9:57
cat5jpg.jpg,tora,0.57,38.725213,139.827071,2026-01-13 9:57
cat6.jpg,tora,0.71,38.725213,139.827071,2026-01-14 9:57
cat7.jpg,buti,0.77,38.725213,139.827071,2026-01-15 9:57
cat8.jpg,buti,0.76,38.725213,139.827071,2026-01-16 9:57
cat9.jpg,mike,0.78,38.725213,139.827071,2026-01-17 9:57
images(81).jpg,siro,0.8,38.725213,139.827071,2026-01-18 9:57
images(82).jpg,sabi,0.79,38.725213,139.827071,2026-01-19 9:57
mike.jpg,kuro,0.72,38.725213,139.827071,2026-01-20 9:57
nora1.jpg,kuro,0.79,38.725213,139.827071,2026-01-21 9:57
nara2.jpg,tara,0.91,38.725213,139.827071,2026-01-22 9:57
nara3.jpg,tora,0.26,38.725213,139.827071,2026-01-23 9:57
nara4.jpg,buti,0.83,38.725213,139.827071,2026-01-24 9:57
nora5.jpg,mike,0.84,38.725213,139.827071,2026-01-25 9:57
nora6.jpg,tora,0.72,38.725213,139.827071,2026-01-26 9:57
nora7.jpg,buti,0.46,38.725213,139.827071,2026-01-27 9:57
nora8.jpg,mike,0.64,38.725213,139.827071,2026-01-28 9:57
nora9.jpg,siro,0.9,38.725213,139.827071,2026-01-29 9:57
nora10.jpg,buti,0.68,38.725213,139.827071,2026-01-30 9:57
nora11.jpg,kuro,0.78,38.725213,139.827071,2026-01-31 9:57
nora12.jpg,kuro,0.75,38.725213,139.827071,2026-02-01 9:57
nora13.jpg,siro,0.91,38.725213,139.827071,2026-02-02 9:57
nora14.jpg,siro,0.9,38.725213,139.827071,2026-02-03 9:57
nara15.jpg,siro,0.61,38.725213,139.827071,2026-02-04 9:57
nora16.jpg,kuro,0.93,38.725213,139.827071,2026-02-05 9:57
nora17.jpg,kuro,0.93,38.725213,139.827071,2026-02-06 9:57
sabi.jpg,sabi,0.94,38.725213,139.827071,2026-02-07 9:57
tan.jpg,siro,0.86,38.725213,139.827071,2026-02-08 9:57
1762260172435.jpg,kuro,0.59,38.725213,139.827071,2026-02-09 9:57
